Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT08649","NME3","None","NME/NM23 nucleoside diphosphate kinase 3","None","ENSG00000103024","None","0.0024929","0.0264257","1.0","By_ingredient","0.2245"
"SMTT08650","NME4","None","NME/NM23 nucleoside diphosphate kinase 4","None","ENSG00000103202","None","0.00199478","0.0233139","1.0","By_ingredient","0.2189"
"SMTT08651","NME5","None","NME/NM23 family member 5","None","ENSG00000112981","None","0.00149643","0.0199814","1.0","By_ingredient","0.2485"
"SMTT08652","NME6","None","NME/NM23 nucleoside diphosphate kinase 6","None","ENSG00000172113","None","0.00149643","0.0199814","1.0","By_ingredient","0.2597"
"SMTT08653","NME7","None","NME/NM23 family member 7","None","ENSG00000143156","None","0.00199478","0.0233139","1.0","By_ingredient","0.2414"
"SMTT08655","NMNAT2","None","nicotinamide nucleotide adenylyltransferase 2","None","ENSG00000157064","None","0.000997851","0.015591","1.0","By_ingredient","0.2214"
"SMTT08656","NMNAT3","None","nicotinamide nucleotide adenylyltransferase 3","None","ENSG00000163864","None","0.000997851","0.015591","1.0","By_ingredient","0.2291"
"SMTT08667","NOD1","None","nucleotide binding oligomerization domain containing 1","None","ENSG00000106100","None","0.000997851","0.015591","1.0","By_ingredient","0.2314"
"SMTT08759","NUDT10","None","nudix hydrolase 10","None","ENSG00000122824","None","0.0024929","0.0264257","1.0","By_ingredient","0.2206"
"SMTT08768","NUDT6","None","nudix hydrolase 6","None","ENSG00000170917","None","0.000997851","0.015591","1.0","By_ingredient","0.2787"
"SMTT08804","OBSCN","None","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","None","ENSG00000154358","None","0.00199478","0.0233139","1.0","By_ingredient","0.2424"
"SMTT08872","OVGP1","None","oviductal glycoprotein 1","None","ENSG00000085465","None","0.00448309","0.0346571","1.0","By_ingredient","0.227"
"SMTT08891","P4HA2","None","prolyl 4-hydroxylase subunit alpha 2","None","ENSG00000072682","None","0.00348846","0.0315771","1.0","By_ingredient","0.1786"
"SMTT08894","PA2G4","None","proliferation-associated 2G4","None","ENSG00000170515","None","0.00398589","0.032859","1.0","By_ingredient","0.2318"
"SMTT08907","PAICS","None","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","None","ENSG00000128050","None","0.00448309","0.0346571","1.0","By_ingredient","0.2043"
